,DISTRICT,COUNTY,ACN-ACTIVE,AEL-ACTIVE,DEM-ACTIVE,GRN-ACTIVE,LBR-ACTIVE,REP-ACTIVE,UAF-ACTIVE,ACTIVE TOTAL,ACN-INACTIVE,AEL-INACTIVE,DEM-INACTIVE,GRN-INACTIVE,LBR-INACTIVE,REP-INACTIVE,UAF-INACTIVE,INACTIVE TOTAL,GRAND TOTAL
0,SD 1,CHEYENNE,1.0,0.0,155,0.0,2.0,775,234,1167,0.0,0.0,47,0.0,1.0,144,109,301,1468
1,SD 1,ELBERT,34.0,11.0,2022,11.0,70.0,8380,4244,14772,2.0,0.0,643,5.0,9.0,1758,1636,4053,18825
2,SD 1,KIT CARSON,2.0,3.0,613,1.0,12.0,2300,954,3885,3.0,0.0,207,0.0,4.0,519,519,1252,5137
3,SD 1,LINCOLN,4.0,0.0,411,2.0,6.0,1413,549,2385,0.0,0.0,177,1.0,5.0,366,331,880,3265
4,SD 1,LOGAN,28.0,6.0,1856,2.0,35.0,5111,2550,9588,2.0,0.0,532,3.0,7.0,919,1275,2738,12326
5,SD 1,MORGAN,26.0,18.0,2663,10.0,48.0,5280,3502,11547,4.0,0.0,828,2.0,15.0,1267,1765,3881,15428
6,SD 1,PHILLIPS,4.0,1.0,414,1.0,6.0,1384,540,2350,2.0,0.0,157,0.0,1.0,347,294,801,3151
7,SD 1,SEDGWICK,3.0,0.0,264,0.0,3.0,859,344,1473,0.0,0.0,31,0.0,0.0,104,75,210,1683
8,SD 1,WASHINGTON,9.0,0.0,295,1.0,2.0,1937,458,2702,1.0,0.0,83,1.0,0.0,306,211,602,3304
9,SD 1,WELD,75.0,18.0,2965,21.0,89.0,8112,5541,16821,9.0,0.0,861,5.0,16.0,1466,2055,4412,21233
10,SD 1,YUMA,9.0,5.0,826,1.0,9.0,2705,1311,4866,4.0,0.0,251,0.0,4.0,633,623,1515,6381
11,SD 1,,195.0,62.0,12484,50.0,282.0,38256,20227,71556,27.0,0.0,3817,17.0,62.0,7829,8893,20645,92201
12,SD 2,CLEAR CREEK,16.0,7.0,1953,19.0,52.0,1866,2108,6021,6.0,0.0,488,10.0,17.0,525,907,1953,7974
13,SD 2,EL PASO,94.0,18.0,4511,45.0,151.0,9972,7001,21792,13.0,0.0,1643,12.0,26.0,2687,3571,7952,29744
14,SD 2,FREMONT,87.0,7.0,4935,39.0,143.0,10132,6472,21815,21.0,0.0,2271,25.0,52.0,3854,4336,10559,32374
15,SD 2,PARK,30.0,6.0,2135,27.0,65.0,4252,3432,9947,3.0,0.0,634,5.0,16.0,996,1420,3074,13021
16,SD 2,TELLER,33.0,7.0,2479,26.0,100.0,7197,4231,14073,10.0,0.0,1088,13.0,29.0,2328,2401,5869,19942
17,SD 2,,260.0,45.0,16013,156.0,511.0,33419,23244,73648,53.0,0.0,6124,65.0,140.0,10390,12635,29407,103055
18,SD 3,PUEBLO,187.0,171.0,35231,135.0,341.0,17485,19772,73322,33.0,0.0,10576,53.0,96.0,5571,11473,27802,101124
19,SD 3,,187.0,171.0,35231,135.0,341.0,17485,19772,73322,33.0,0.0,10576,53.0,96.0,5571,11473,27802,101124
20,SD 4,DOUGLAS,92.0,36.0,16276,90.0,518.0,43631,27244,87887,12.0,1.0,3721,28.0,74.0,8060,7994,19890,107777
21,SD 4,,92.0,36.0,16276,90.0,518.0,43631,27244,87887,12.0,1.0,3721,28.0,74.0,8060,7994,19890,107777
22,SD 5,CHAFFEE,17.0,5.0,3062,44.0,51.0,4345,3592,11116,4.0,0.0,569,8.0,12.0,753,1168,2514,13630
23,SD 5,DELTA,56.0,9.0,3242,48.0,102.0,8396,4704,16557,14.0,0.0,910,16.0,21.0,1678,1805,4444,21001
24,SD 5,EAGLE,53.0,12.0,6943,98.0,197.0,6927,9955,24185,7.0,0.0,2348,47.0,46.0,2130,4670,9248,33433
25,SD 5,GUNNISON,19.0,2.0,2687,47.0,64.0,2488,3485,8792,6.0,0.0,1103,31.0,29.0,1043,2423,4635,13427
26,SD 5,HINSDALE,0.0,0.0,102,0.0,4.0,417,141,664,0.0,0.0,11,1.0,0.0,51,16,79,743
27,SD 5,LAKE,10.0,8.0,1620,16.0,32.0,683,966,3335,2.0,0.0,572,11.0,11.0,274,739,1609,4944
28,SD 5,PITKIN,8.0,5.0,3880,40.0,63.0,1964,4473,10433,5.0,0.0,1352,37.0,22.0,854,2230,4500,14933
29,SD 5,,163.0,41.0,21536,293.0,513.0,25220,27316,75082,38.0,0.0,6865,151.0,141.0,6783,13051,27029,102111
30,SD 6,ARCHULETA,27.0,5.0,1662,29.0,47.0,3527,1823,7120,4.0,0.0,692,14.0,11.0,1331,1014,3066,10186
31,SD 6,DOLORES,5.0,0.0,381,3.0,1.0,589,326,1305,1.0,0.0,75,0.0,3.0,116,168,363,1668
32,SD 6,LA PLATA,65.0,38.0,9962,174.0,242.0,9895,10147,30523,21.0,0.0,2936,87.0,79.0,2959,4881,10963,41486
33,SD 6,MONTEZUMA,34.0,21.0,3072,49.0,50.0,6603,3620,13449,10.0,0.0,1522,15.0,16.0,2058,2360,5981,19430
34,SD 6,MONTROSE,44.0,12.0,4060,41.0,101.0,10205,6595,21058,13.0,0.0,1029,11.0,22.0,2259,2961,6295,27353
35,SD 6,OURAY,5.0,1.0,929,22.0,22.0,1325,1003,3307,1.0,0.0,237,7.0,8.0,391,435,1079,4386
36,SD 6,SAN JUAN,3.0,0.0,160,3.0,12.0,123,275,576,1.0,0.0,23,0.0,0.0,19,42,85,661
37,SD 6,SAN MIGUEL,9.0,5.0,2002,56.0,63.0,828,1535,4498,0.0,0.0,753,40.0,19.0,321,997,2130,6628
38,SD 6,,192.0,82.0,22228,377.0,538.0,33095,25324,81836,51.0,0.0,7267,174.0,158.0,9454,12858,29962,111798
39,SD 7,MESA,239.0,60.0,16086,154.0,555.0,36052,25032,78178,57.0,0.0,5453,69.0,173.0,10229,12758,28739,106917
40,SD 7,,239.0,60.0,16086,154.0,555.0,36052,25032,78178,57.0,0.0,5453,69.0,173.0,10229,12758,28739,106917
41,SD 8,GARFIELD,73.0,18.0,6527,104.0,159.0,9008,9917,25806,9.0,0.0,1968,30.0,50.0,2547,4850,9454,35260
42,SD 8,GRAND,17.0,6.0,1981,24.0,47.0,3909,2640,8624,3.0,0.0,788,16.0,17.0,1073,1597,3494,12118
43,SD 8,JACKSON,1.0,0.0,125,0.0,3.0,689,120,938,0.0,0.0,41,0.0,0.0,187,88,316,1254
44,SD 8,MOFFAT,23.0,2.0,818,6.0,30.0,3786,1646,6311,5.0,0.0,527,2.0,6.0,1176,1441,3157,9468
45,SD 8,RIO BLANCO,5.0,0.0,358,2.0,20.0,2486,645,3516,0.0,0.0,132,1.0,4.0,505,566,1208,4724
46,SD 8,ROUTT,32.0,10.0,4303,94.0,148.0,4420,5456,14463,8.0,0.0,1217,75.0,57.0,1125,1976,4458,18921
47,SD 8,SUMMIT,22.0,14.0,4791,65.0,149.0,4059,7213,16313,3.0,0.0,2172,76.0,54.0,1937,4926,9168,25481
48,SD 8,,173.0,50.0,18903,295.0,556.0,28357,27637,75971,28.0,0.0,6845,200.0,188.0,8550,15444,31255,107226
49,SD 9,EL PASO,134.0,35.0,13248,105.0,606.0,48969,25629,88726,18.0,0.0,3628,30.0,83.0,9496,8622,21877,110603
50,SD 9,,134.0,35.0,13248,105.0,606.0,48969,25629,88726,18.0,0.0,3628,30.0,83.0,9496,8622,21877,110603
51,SD 10,EL PASO,169.0,63.0,15820,176.0,576.0,37020,24482,78306,32.0,1.0,5557,53.0,123.0,9392,11823,26981,105287
52,SD 10,,169.0,63.0,15820,176.0,576.0,37020,24482,78306,32.0,1.0,5557,53.0,123.0,9392,11823,26981,105287
53,SD 11,EL PASO,240.0,114.0,21042,270.0,625.0,16341,21874,60506,78.0,0.0,8320,107.0,151.0,5845,13743,28244,88750
54,SD 11,,240.0,114.0,21042,270.0,625.0,16341,21874,60506,78.0,0.0,8320,107.0,151.0,5845,13743,28244,88750
55,SD 12,EL PASO,161.0,67.0,15275,112.0,504.0,30240,21507,67866,24.0,0.0,5557,44.0,97.0,7516,10856,24094,91960
56,SD 12,,161.0,67.0,15275,112.0,504.0,30240,21507,67866,24.0,0.0,5557,44.0,97.0,7516,10856,24094,91960
57,SD 13,WELD,182.0,102.0,17513,116.0,371.0,22427,22347,63058,45.0,0.0,5727,59.0,100.0,5738,10983,22652,85710
58,SD 13,,182.0,102.0,17513,116.0,371.0,22427,22347,63058,45.0,0.0,5727,59.0,100.0,5738,10983,22652,85710
59,SD 14,LARIMER,184.0,67.0,29187,388.0,962.0,26202,36699,93689,37.0,0.0,7106,152.0,207.0,6217,12450,26169,119858
60,SD 14,,184.0,67.0,29187,388.0,962.0,26202,36699,93689,37.0,0.0,7106,152.0,207.0,6217,12450,26169,119858
61,SD 15,LARIMER,245.0,66.0,22299,232.0,598.0,35488,32537,91465,28.0,0.0,4136,58.0,89.0,5731,8588,18630,110095
62,SD 15,,245.0,66.0,22299,232.0,598.0,35488,32537,91465,28.0,0.0,4136,58.0,89.0,5731,8588,18630,110095
63,SD 16,BOULDER,8.0,5.0,2944,15.0,79.0,1911,3070,8032,1.0,0.0,791,9.0,18.0,747,1318,2884,10916
64,SD 16,DENVER,46.0,14.0,5386,32.0,117.0,4732,4905,15232,5.0,0.0,1809,10.0,34.0,1685,2597,6140,21372
65,SD 16,GILPIN,10.0,3.0,1200,15.0,29.0,979,1394,3630,0.0,0.0,386,20.0,8.0,330,714,1458,5088
66,SD 16,JEFFERSON,88.0,27.0,18446,164.0,505.0,24561,22520,66311,14.0,0.0,3995,43.0,83.0,5118,6806,16059,82370
67,SD 16,,152.0,49.0,27976,226.0,730.0,32183,31889,93205,20.0,0.0,6981,82.0,143.0,7880,11435,26541,119746
68,SD 17,BOULDER,132.0,109.0,30887,255.0,625.0,20939,28809,81756,33.0,0.0,6596,87.0,132.0,5295,10015,22158,103914
69,SD 17,,132.0,109.0,30887,255.0,625.0,20939,28809,81756,33.0,0.0,6596,87.0,132.0,5295,10015,22158,103914
70,SD 18,BOULDER,68.0,77.0,46939,672.0,978.0,13927,34533,97194,30.0,2.0,13580,348.0,337.0,4654,17912,36863,134057
71,SD 18,,68.0,77.0,46939,672.0,978.0,13927,34533,97194,30.0,2.0,13580,348.0,337.0,4654,17912,36863,134057
72,SD 19,JEFFERSON,162.0,67.0,26334,183.0,569.0,27134,28706,83155,30.0,1.0,6517,59.0,118.0,6314,10524,23563,106718
73,SD 19,,162.0,67.0,26334,183.0,569.0,27134,28706,83155,30.0,1.0,6517,59.0,118.0,6314,10524,23563,106718
74,SD 20,JEFFERSON,162.0,70.0,29652,224.0,646.0,31534,31578,93866,27.0,0.0,6710,55.0,144.0,6677,10478,24091,117957
75,SD 20,,162.0,70.0,29652,224.0,646.0,31534,31578,93866,27.0,0.0,6710,55.0,144.0,6677,10478,24091,117957
76,SD 21,ADAMS,156.0,84.0,23998,111.0,352.0,11683,18315,54699,41.0,2.0,8105,35.0,110.0,3997,10406,22696,77395
77,SD 21,,156.0,84.0,23998,111.0,352.0,11683,18315,54699,41.0,2.0,8105,35.0,110.0,3997,10406,22696,77395
78,SD 22,JEFFERSON,137.0,107.0,26954,189.0,578.0,26832,27768,82565,25.0,0.0,7299,64.0,134.0,6678,10647,24847,107412
79,SD 22,,137.0,107.0,26954,189.0,578.0,26832,27768,82565,25.0,0.0,7299,64.0,134.0,6678,10647,24847,107412
80,SD 23,BROOMFIELD,46.0,28.0,10159,62.0,241.0,11332,12037,33905,13.0,1.0,2322,24.0,58.0,2458,3918,8794,42699
81,SD 23,LARIMER,17.0,3.0,1772,13.0,61.0,4434,3088,9388,3.0,0.0,297,2.0,5.0,496,580,1383,10771
82,SD 23,WELD,102.0,49.0,10146,67.0,302.0,18445,15746,44857,9.0,0.0,2174,16.0,52.0,3448,4769,10468,55325
83,SD 23,,165.0,80.0,22077,142.0,604.0,34211,30871,88150,25.0,1.0,4793,42.0,115.0,6402,9267,20645,108795
84,SD 24,ADAMS,143.0,85.0,24910,112.0,483.0,22617,25836,74186,24.0,0.0,7500,46.0,113.0,6526,11981,26190,100376
85,SD 24,,143.0,85.0,24910,112.0,483.0,22617,25836,74186,24.0,0.0,7500,46.0,113.0,6526,11981,26190,100376
86,SD 25,ADAMS,172.0,98.0,21420,99.0,408.0,16098,19848,58143,33.0,3.0,7297,36.0,85.0,4579,10055,22088,80231
87,SD 25,,172.0,98.0,21420,99.0,408.0,16098,19848,58143,33.0,3.0,7297,36.0,85.0,4579,10055,22088,80231
88,SD 26,ARAPAHOE,135.0,89.0,28077,194.0,633.0,27194,26873,83195,25.0,0.0,6593,40.0,110.0,4616,8180,19564,102759
89,SD 26,,135.0,89.0,28077,194.0,633.0,27194,26873,83195,25.0,0.0,6593,40.0,110.0,4616,8180,19564,102759
90,SD 27,ARAPAHOE,82.0,67.0,24585,120.0,525.0,35034,27011,87424,8.0,0.0,4534,29.0,70.0,5228,6910,16779,104203
91,SD 27,,82.0,67.0,24585,120.0,525.0,35034,27011,87424,8.0,0.0,4534,29.0,70.0,5228,6910,16779,104203
92,SD 28,ARAPAHOE,160.0,91.0,27269,128.0,501.0,21440,23896,73485,20.0,0.0,6565,29.0,67.0,4241,8255,19177,92662
93,SD 28,,160.0,91.0,27269,128.0,501.0,21440,23896,73485,20.0,0.0,6565,29.0,67.0,4241,8255,19177,92662
94,SD 29,ARAPAHOE,159.0,128.0,24946,133.0,362.0,16340,19536,61604,32.0,0.0,7243,39.0,60.0,3571,7673,18618,80222
