,DISTRICT,COUNTY,ACN-ACTIVE,DEM-ACTIVE,GRN-ACTIVE,LBR-ACTIVE,REP-ACTIVE,UAF-ACTIVE,UNI-ACTIVE,ACTIVE TOTAL,ACN-INACTIVE,DEM-INACTIVE,GRN-INACTIVE,LBR-INACTIVE,REP-INACTIVE,UAF-INACTIVE,INACTIVE TOTAL,GRAND TOTAL
0,SD 1,CHEYENNE,2.0,158,3.0,4,866,278,0.0,1311,0.0,19,0.0,1.0,54,46,120,1431
1,SD 1,ELBERT,45.0,2154,15.0,105,8988,5113,0.0,16420,5.0,360,0.0,12.0,1197,827,2401,18821
2,SD 1,KIT CARSON,9.0,622,2.0,16,2456,1152,0.0,4257,4.0,141,0.0,3.0,350,343,841,5098
3,SD 1,LINCOLN,8.0,415,3.0,15,1533,656,0.0,2630,1.0,84,0.0,4.0,168,177,434,3064
4,SD 1,LOGAN,38.0,1896,5.0,51,5406,3320,0.0,10716,5.0,332,2.0,6.0,630,764,1739,12455
5,SD 1,MORGAN,41.0,2826,13.0,68,5680,4508,0.0,13136,8.0,473,2.0,9.0,613,882,1987,15123
6,SD 1,PHILLIPS,3.0,466,3.0,11,1526,683,0.0,2692,4.0,105,0.0,0.0,255,214,578,3270
7,SD 1,SEDGWICK,2.0,270,0.0,2,876,376,0.0,1526,0.0,16,0.0,1.0,75,66,158,1684
8,SD 1,WASHINGTON,9.0,277,2.0,9,2097,496,0.0,2890,3.0,58,0.0,0.0,192,137,390,3280
9,SD 1,WELD,93.0,3162,25.0,125,8964,6783,0.0,19152,11.0,512,3.0,13.0,906,1054,2499,21651
10,SD 1,YUMA,13.0,832,3.0,14,2986,1542,0.0,5390,2.0,138,0.0,5.0,349,323,817,6207
11,SD 1,,263.0,13078,74.0,420,41378,24907,0.0,80120,43.0,2238,7.0,54.0,4789,4833,11964,92084
12,SD 2,CLEAR CREEK,16.0,1999,22.0,81,1980,2523,0.0,6621,7.0,311,5.0,3.0,307,485,1118,7739
13,SD 2,EL PASO,123.0,4654,54.0,232,10683,8742,2.0,24490,31.0,1320,15.0,38.0,1931,2342,5677,30167
14,SD 2,FREMONT,128.0,5116,58.0,186,10969,8240,1.0,24698,30.0,793,6.0,35.0,1363,1527,3754,28452
15,SD 2,PARK,42.0,2214,40.0,96,4630,3979,0.0,11001,4.0,431,7.0,14.0,748,857,2061,13062
16,SD 2,TELLER,56.0,2567,32.0,146,7486,5143,1.0,15431,8.0,398,5.0,23.0,1027,831,2292,17723
17,SD 2,,365.0,16550,206.0,741,35748,28627,4.0,82241,80.0,3253,38.0,113.0,5376,6042,14902,97143
18,SD 3,PUEBLO,252.0,36201,158.0,417,18857,24154,2.0,80041,52.0,6151,41.0,110.0,3287,6435,16076,96117
19,SD 3,,252.0,36201,158.0,417,18857,24154,2.0,80041,52.0,6151,41.0,110.0,3287,6435,16076,96117
20,SD 4,DOUGLAS,167.0,17749,156.0,923,48070,30821,2.0,97888,17.0,3619,26.0,95.0,7963,6747,18467,116355
21,SD 4,,167.0,17749,156.0,923,48070,30821,2.0,97888,17.0,3619,26.0,95.0,7963,6747,18467,116355
22,SD 5,CHAFFEE,26.0,3044,48.0,77,4469,4055,0.0,11719,3.0,435,12.0,9.0,557,789,1805,13524
23,SD 5,DELTA,80.0,3268,57.0,117,8507,5659,1.0,17689,16.0,658,17.0,22.0,1361,1358,3432,21121
24,SD 5,EAGLE,59.0,7417,115.0,259,7332,11463,0.0,26645,8.0,1681,44.0,45.0,1517,3390,6685,33330
25,SD 5,GUNNISON,23.0,2820,59.0,82,2573,4286,0.0,9843,6.0,618,19.0,31.0,577,1236,2487,12330
26,SD 5,HINSDALE,0.0,106,1.0,5,417,143,0.0,672,0.0,6,0.0,0.0,47,16,69,741
27,SD 5,LAKE,17.0,1679,17.0,45,749,1116,1.0,3624,2.0,471,13.0,15.0,238,689,1428,5052
28,SD 5,PITKIN,13.0,4142,58.0,89,2098,5381,0.0,11781,7.0,1230,27.0,16.0,795,1701,3776,15557
29,SD 5,,218.0,22476,355.0,674,26145,32103,2.0,81973,42.0,5099,132.0,138.0,5092,9179,19682,101655
30,SD 6,ARCHULETA,31.0,1799,28.0,56,3915,2124,0.0,7953,4.0,436,11.0,14.0,706,712,1883,9836
31,SD 6,DOLORES,10.0,371,3.0,4,621,393,0.0,1402,3.0,48,0.0,0.0,65,113,229,1631
32,SD 6,LA PLATA,86.0,10280,213.0,329,10485,11706,0.0,33099,33.0,2870,80.0,91.0,2719,3895,9688,42787
33,SD 6,MONTEZUMA,39.0,3256,63.0,75,6983,4636,0.0,15052,17.0,886,15.0,16.0,1357,1325,3616,18668
34,SD 6,MONTROSE,65.0,4178,48.0,138,10879,7630,0.0,22938,13.0,572,11.0,16.0,1250,1530,3392,26330
35,SD 6,OURAY,8.0,953,18.0,27,1311,1207,0.0,3524,2.0,167,11.0,4.0,290,287,761,4285
36,SD 6,SAN JUAN,3.0,167,4.0,12,141,280,0.0,607,2.0,33,1.0,1.0,24,45,106,713
37,SD 6,SAN MIGUEL,9.0,2073,59.0,79,838,1806,1.0,4865,2.0,598,29.0,12.0,283,752,1676,6541
38,SD 6,,251.0,23077,436.0,720,35173,29782,1.0,89440,76.0,5610,158.0,154.0,6694,8659,21351,110791
39,SD 7,MESA,250.0,15959,162.0,697,36534,28552,1.0,82155,97.0,5281,74.0,176.0,10096,11255,26979,109134
40,SD 7,,250.0,15959,162.0,697,36534,28552,1.0,82155,97.0,5281,74.0,176.0,10096,11255,26979,109134
41,SD 8,GARFIELD,86.0,6709,113.0,224,9225,12006,0.0,28363,25.0,1059,27.0,33.0,1588,2430,5162,33525
42,SD 8,GRAND,18.0,2024,30.0,71,4104,3313,1.0,9561,6.0,453,7.0,13.0,600,951,2030,11591
43,SD 8,JACKSON,1.0,114,0.0,6,694,159,0.0,974,0.0,21,0.0,0.0,114,44,179,1153
44,SD 8,MOFFAT,29.0,856,8.0,46,3910,2115,0.0,6964,11.0,411,3.0,6.0,1004,1076,2511,9475
45,SD 8,RIO BLANCO,7.0,343,5.0,22,2569,772,0.0,3718,2.0,73,2.0,6.0,343,288,714,4432
46,SD 8,ROUTT,33.0,4380,100.0,178,4521,6128,1.0,15341,16.0,914,61.0,50.0,860,1385,3286,18627
47,SD 8,SUMMIT,30.0,5088,88.0,210,4254,8151,0.0,17821,8.0,2061,76.0,84.0,1690,4152,8071,25892
48,SD 8,,204.0,19514,344.0,757,29277,32644,2.0,82742,68.0,4992,176.0,192.0,6199,10326,21953,104695
49,SD 9,EL PASO,181.0,14015,157.0,880,51605,29845,3.0,96686,31.0,2686,26.0,112.0,7449,6147,16451,113137
50,SD 9,,181.0,14015,157.0,880,51605,29845,3.0,96686,31.0,2686,26.0,112.0,7449,6147,16451,113137
51,SD 10,EL PASO,249.0,16389,207.0,801,37723,29166,6.0,84541,61.0,4168,44.0,151.0,6844,7943,19211,103752
