,DISTRICT,COUNTY,ACN-ACTIVE,DEM-ACTIVE,GRN-ACTIVE,LBR-ACTIVE,REP-ACTIVE,UAF-ACTIVE,UNI-ACTIVE,ACTIVE TOTAL,ACN-INACTIVE,DEM-INACTIVE,GRN-INACTIVE,LBR-INACTIVE,REP-INACTIVE,UAF-INACTIVE,UNI-INACTIVE,INACTIVE TOTAL,ACN-PREREG,DEM-PREREG,GRN-PREREG,LBR-PREREG,REP-PREREG,UAF-PREREG,UNI-PREREG,PREREG TOTAL,TOTAL
0,SD 1,CHEYENNE,4.0,158,0.0,4,835,286,0.0,1287,0.0,21,1.0,0.0,64,44,0.0,130,0.0,1.0,0.0,0.0,11.0,14.0,0.0,26.0,1443
1,SD 1,ELBERT,52.0,2296,28.0,160,10059,5343,1.0,17939,7.0,253,0.0,14.0,870,608,0.0,1752,0.0,14.0,0.0,2.0,92.0,106.0,0.0,214.0,19905
2,SD 1,KIT CARSON,9.0,580,4.0,20,2532,1188,0.0,4333,4.0,85,0.0,4.0,255,267,0.0,615,1.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,4954
3,SD 1,LINCOLN,14.0,397,4.0,19,1682,624,0.0,2740,0.0,71,1.0,4.0,174,161,0.0,411,0.0,1.0,0.0,0.0,5.0,5.0,0.0,11.0,3162
4,SD 1,LOGAN,48.0,1869,10.0,85,5845,3462,1.0,11320,6.0,319,1.0,11.0,643,856,0.0,1836,1.0,5.0,0.0,1.0,9.0,20.0,0.0,36.0,13192
5,SD 1,MORGAN,60.0,2894,20.0,93,6292,4936,1.0,14296,6.0,339,3.0,9.0,504,679,0.0,1540,0.0,4.0,0.0,2.0,43.0,64.0,0.0,113.0,15949
6,SD 1,PHILLIPS,3.0,430,4.0,13,1566,682,1.0,2699,5.0,124,1.0,2.0,253,176,0.0,561,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3262
7,SD 1,SEDGWICK,4.0,252,0.0,4,903,424,0.0,1587,0.0,31,0.0,3.0,98,75,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1794
8,SD 1,WASHINGTON,9.0,276,1.0,12,2184,516,0.0,2998,3.0,40,0.0,1.0,186,95,0.0,325,0.0,0.0,0.0,0.0,3.0,7.0,0.0,10.0,3333
9,SD 1,WELD,101.0,3406,37.0,187,10162,7320,4.0,21217,12.0,407,3.0,11.0,778,878,0.0,2089,0.0,22.0,0.0,2.0,68.0,116.0,0.0,208.0,23514
10,SD 1,YUMA,22.0,837,4.0,27,3067,1566,1.0,5524,2.0,104,0.0,4.0,291,261,0.0,662,0.0,2.0,0.0,0.0,6.0,20.0,0.0,28.0,6214
12,SD 2,CLEAR CREEK,23.0,2143,28.0,115,2067,2557,1.0,6934,5.0,275,5.0,4.0,255,461,0.0,1005,0.0,9.0,1.0,2.0,11.0,29.0,0.0,52.0,7991
13,SD 2,EL PASO,175.0,5370,70.0,360,12187,9892,8.0,28062,28.0,1042,14.0,39.0,1640,2122,0.0,4885,0.0,39.0,1.0,0.0,63.0,153.0,0.0,256.0,33203
14,SD 2,FREMONT,145.0,5194,67.0,264,11874,9149,8.0,26701,32.0,678,7.0,39.0,1290,1626,0.0,3672,0.0,1.0,1.0,2.0,31.0,101.0,0.0,136.0,30509
15,SD 2,PARK,57.0,2539,57.0,145,4967,4378,0.0,12143,11.0,402,6.0,17.0,747,875,0.0,2058,0.0,6.0,0.0,0.0,13.0,33.0,0.0,52.0,14253
16,SD 2,TELLER,77.0,2783,48.0,214,8159,5403,4.0,16688,13.0,448,6.0,27.0,1114,1041,0.0,2649,0.0,3.0,0.0,0.0,30.0,71.0,0.0,104.0,19441
18,SD 3,PUEBLO,346.0,37721,233.0,667,20797,25838,15.0,85617,52.0,5290,53.0,122.0,2981,6478,1.0,14977,6.0,307.0,3.0,7.0,181.0,401.0,0.0,905.0,101499
20,SD 4,DOUGLAS,221.0,20410,199.0,1413,52432,34583,12.0,109270,15.0,2418,20.0,105.0,5789,5232,0.0,13579,3.0,173.0,5.0,8.0,615.0,1010.0,0.0,1814.0,124663
