,DISTRICT,COUNTY,ACN-ACTIVE,APV-ACTIVE,DEM-ACTIVE,GRN-ACTIVE,LBR-ACTIVE,REP-ACTIVE,UAF-ACTIVE,UNI-ACTIVE,ACTIVE TOTAL,ACN-INACTIVE,APV-INACTIVE,DEM-INACTIVE,GRN-INACTIVE,LBR-INACTIVE,REP-INACTIVE,UAF-INACTIVE,UNI-INACTIVE,INACTIVE TOTAL,ACN-PREREG,APV-PREREG,DEM-PREREG,GRN-PREREG,LBR-PREREG,REP-PREREG,UAF-PREREG,UNI-PREREG,PREREG TOTAL,GRAND TOTAL
0,SD 1,CHEYENNE,5.0,0.0,114,0.0,0.0,813,306,0.0,1238,0.0,0.0,22,1.0,1,73,62,0.0,159,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,20,1417
1,SD 1,ELBERT,55.0,1.0,2185,21.0,193.0,10183,7052,2.0,19692,10.0,0.0,195,4.0,28,965,754,0.0,1956,1.0,0.0,13.0,0.0,3.0,160.0,254.0,0.0,431,22079
2,SD 1,KIT CARSON,21.0,3.0,474,1.0,26.0,2466,1359,7.0,4357,7.0,0.0,64,1.0,7,231,273,2.0,585,0.0,0.0,0.0,0.0,0.0,26.0,20.0,0.0,46,4988
3,SD 1,LINCOLN,4.0,0.0,339,1.0,26.0,1705,814,1.0,2890,5.0,0.0,63,1.0,4,154,169,0.0,396,1.0,0.0,1.0,0.0,0.0,23.0,33.0,0.0,58,3344
4,SD 1,LOGAN,44.0,6.0,1585,8.0,84.0,5896,3825,5.0,11453,7.0,1.0,166,5.0,14,439,630,2.0,1264,0.0,0.0,0.0,0.0,0.0,31.0,47.0,0.0,78,12795
5,SD 1,MORGAN,71.0,13.0,2781,18.0,120.0,6647,6108,8.0,15766,15.0,0.0,270,2.0,19,548,826,4.0,1684,0.0,0.0,20.0,0.0,0.0,45.0,103.0,0.0,168,17618
6,SD 1,PHILLIPS,6.0,0.0,361,2.0,11.0,1518,779,0.0,2677,1.0,0.0,106,0.0,4,288,223,0.0,622,0.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,21,3320
7,SD 1,SEDGWICK,11.0,2.0,244,1.0,3.0,883,464,0.0,1608,0.0,0.0,30,1.0,2,86,110,0.0,229,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,7,1844
8,SD 1,WASHINGTON,18.0,2.0,226,1.0,28.0,2120,691,1.0,3087,4.0,0.0,56,0.0,3,205,110,1.0,379,0.0,0.0,0.0,0.0,0.0,21.0,14.0,0.0,35,3501
9,SD 1,WELD,121.0,13.0,3538,26.0,214.0,11281,9325,9.0,24527,23.0,1.0,311,5.0,35,1045,1122,0.0,2542,1.0,0.0,9.0,0.0,1.0,108.0,194.0,0.0,313,27382
10,SD 1,YUMA,21.0,1.0,632,3.0,29.0,3012,1845,4.0,5547,3.0,0.0,62,0.0,1,193,205,0.0,464,0.0,0.0,1.0,0.0,0.0,22.0,52.0,0.0,75,6086
12,SD 2,CLEAR CREEK,21.0,6.0,2067,16.0,115.0,1853,3077,1.0,7156,7.0,0.0,248,9.0,22,294,533,0.0,1113,0.0,0.0,7.0,0.0,1.0,7.0,47.0,0.0,62,8331
13,SD 2,EL PASO,175.0,16.0,5599,82.0,441.0,12283,12795,23.0,31414,32.0,2.0,846,12.0,73,1643,2190,0.0,4798,0.0,0.0,29.0,1.0,1.0,82.0,264.0,0.0,377,36589
14,SD 2,FREMONT,154.0,10.0,4782,59.0,260.0,12141,10644,17.0,28067,23.0,1.0,498,12.0,38,1231,1660,2.0,3465,0.0,0.0,7.0,0.0,0.0,54.0,130.0,0.0,191,31723
15,SD 2,PARK,50.0,2.0,2487,58.0,173.0,4948,5507,4.0,13229,14.0,0.0,361,8.0,40,740,1064,0.0,2227,0.0,0.0,12.0,0.0,0.0,28.0,74.0,1.0,115,15571
16,SD 2,TELLER,73.0,5.0,2677,43.0,209.0,8105,6455,5.0,17572,18.0,0.0,387,12.0,46,1393,1274,1.0,3131,1.0,0.0,9.0,0.0,0.0,32.0,86.0,0.0,128,20831
18,SD 3,PUEBLO,381.0,50.0,35307,196.0,667.0,21008,30804,67.0,88480,66.0,4.0,3663,66.0,182,2349,5312,16.0,11658,1.0,0.0,170.0,5.0,2.0,132.0,549.0,0.0,859,100997
20,SD 4,DOUGLAS,249.0,29.0,23243,178.0,1503.0,52599,49866,30.0,127697,30.0,0.0,1965,26.0,216,5390,5103,5.0,12735,3.0,1.0,245.0,5.0,8.0,727.0,2239.0,0.0,3228,143660
22,SD 5,CHAFFEE,28.0,0.0,3692,23.0,109.0,4305,5688,4.0,13849,10.0,0.0,421,13.0,22,633,1073,2.0,2174,1.0,0.0,22.0,0.0,1.0,15.0,68.0,0.0,107,16130
23,SD 5,DELTA,106.0,10.0,3386,45.0,168.0,9156,7543,7.0,20421,30.0,0.0,329,8.0,34,831,1022,3.0,2257,0.0,0.0,9.0,0.0,0.0,67.0,156.0,0.0,232,22910
24,SD 5,EAGLE,61.0,14.0,9221,89.0,334.0,6829,14807,12.0,31367,16.0,1.0,1171,19.0,92,946,2466,1.0,4712,0.0,0.0,74.0,0.0,1.0,60.0,426.0,0.0,561,36640
25,SD 5,GUNNISON,26.0,6.0,3648,50.0,133.0,2554,4943,7.0,11367,9.0,1.0,579,20.0,67,491,1151,2.0,2320,0.0,0.0,26.0,0.0,0.0,9.0,67.0,0.0,102,13789
26,SD 5,HINSDALE,0.0,0.0,88,0.0,6.0,363,207,0.0,664,0.0,0.0,12,0.0,2,55,32,0.0,101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,766
27,SD 5,LAKE,12.0,1.0,1691,26.0,62.0,751,1796,2.0,4341,6.0,0.0,355,6.0,26,243,587,0.0,1223,0.0,0.0,5.0,0.0,0.0,2.0,22.0,0.0,29,5593
28,SD 5,PITKIN,14.0,4.0,4840,57.0,127.0,1839,5944,3.0,12828,4.0,0.0,511,11.0,32,262,837,1.0,1658,0.0,0.0,44.0,0.0,0.0,9.0,107.0,0.0,160,14646
30,SD 6,ARCHULETA,31.0,0.0,2029,22.0,75.0,4007,3436,1.0,9601,4.0,1.0,312,8.0,17,567,670,1.0,1580,0.0,0.0,4.0,1.0,0.0,23.0,51.0,0.0,79,11260
31,SD 6,DOLORES,12.0,0.0,242,1.0,8.0,718,546,0.0,1527,2.0,0.0,50,0.0,5,102,161,0.0,320,0.0,0.0,0.0,0.0,1.0,7.0,11.0,0.0,19,1866
32,SD 6,LA PLATA,110.0,8.0,11699,148.0,403.0,10181,15178,16.0,37743,32.0,1.0,2159,88.0,129,2168,3665,6.0,8248,0.0,1.0,45.0,1.0,2.0,57.0,235.0,0.0,341,46332
33,SD 6,MONTEZUMA,65.0,6.0,3482,52.0,136.0,7215,6032,3.0,16991,17.0,0.0,612,14.0,22,1013,1300,2.0,2980,0.0,0.0,9.0,0.0,0.0,42.0,115.0,0.0,166,20137
34,SD 6,MONTROSE,112.0,7.0,4463,40.0,196.0,11989,9766,20.0,26593,28.0,2.0,460,10.0,31,1121,1335,4.0,2991,2.0,0.0,9.0,0.0,0.0,69.0,200.0,0.0,280,29864
35,SD 6,OURAY,8.0,3.0,1170,15.0,38.0,1165,1688,2.0,4089,5.0,0.0,126,3.0,8,171,231,0.0,544,0.0,0.0,5.0,0.0,0.0,4.0,30.0,0.0,39,4672
36,SD 6,SAN JUAN,3.0,0.0,158,4.0,18.0,110,311,1.0,605,1.0,0.0,27,2.0,1,43,70,0.0,144,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,752
37,SD 6,SAN MIGUEL,11.0,1.0,2451,46.0,55.0,824,2128,3.0,5519,4.0,0.0,296,12.0,17,139,395,1.0,864,0.0,0.0,14.0,0.0,0.0,3.0,47.0,0.0,64,6447
39,SD 7,MESA,412.0,37.0,17179,196.0,1062.0,39787,38567,46.0,97286,65.0,3.0,2440,57.0,191,5402,7466,10.0,15634,1.0,4.0,94.0,2.0,7.0,262.0,679.0,1.0,1050,113970
41,SD 8,GARFIELD,104.0,17.0,8285,95.0,318.0,9803,15157,18.0,33797,28.0,1.0,888,27.0,64,1263,2695,3.0,4969,0.0,0.0,65.0,1.0,2.0,81.0,409.0,0.0,558,39324
42,SD 8,GRAND,26.0,1.0,2261,28.0,128.0,3887,4442,3.0,10776,16.0,0.0,311,8.0,32,457,907,0.0,1731,0.0,0.0,12.0,0.0,0.0,27.0,93.0,1.0,133,12640
43,SD 8,JACKSON,3.0,0.0,86,2.0,10.0,626,238,0.0,965,1.0,0.0,35,0.0,2,148,98,0.0,284,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4,1253
44,SD 8,MOFFAT,27.0,5.0,676,7.0,63.0,4097,3004,0.0,7879,11.0,1.0,142,4.0,20,609,722,0.0,1509,0.0,0.0,1.0,0.0,1.0,40.0,77.0,0.0,119,9507
45,SD 8,RIO BLANCO,9.0,1.0,264,5.0,33.0,2631,1065,0.0,4008,0.0,0.0,40,1.0,11,287,233,0.0,572,0.0,0.0,1.0,0.0,0.0,30.0,37.0,0.0,68,4648
46,SD 8,ROUTT,51.0,4.0,5185,69.0,172.0,4247,7921,7.0,17656,7.0,0.0,603,23.0,54,700,1315,1.0,2703,0.0,0.0,35.0,0.0,1.0,31.0,137.0,0.0,204,20563
47,SD 8,SUMMIT,28.0,7.0,6079,75.0,235.0,3730,9642,10.0,19806,13.0,2.0,1223,27.0,90,1013,2421,4.0,4793,0.0,2.0,27.0,0.0,3.0,21.0,179.0,0.0,232,24831
49,SD 9,EL PASO,324.0,26.0,18967,176.0,1527.0,56805,47125,27.0,124977,74.0,0.0,2095,31.0,266,5664,5814,7.0,13951,1.0,0.0,169.0,2.0,15.0,616.0,1421.0,0.0,2224,141152
51,SD 10,EL PASO,376.0,34.0,19393,206.0,1355.0,36082,38570,63.0,96079,96.0,3.0,2853,60.0,329,4620,6958,10.0,14929,0.0,1.0,86.0,1.0,3.0,190.0,634.0,0.0,915,111923
53,SD 11,EL PASO,415.0,76.0,23649,311.0,1162.0,16838,32788,92.0,75331,128.0,4.0,4781,116.0,354,3323,8580,30.0,17316,2.0,2.0,78.0,1.0,1.0,47.0,394.0,1.0,526,93173
55,SD 12,EL PASO,319.0,26.0,18816,191.0,1236.0,32402,36153,49.0,89192,95.0,4.0,3089,51.0,301,4879,7090,13.0,15522,0.0,0.0,103.0,0.0,3.0,174.0,678.0,0.0,958,105672
57,SD 13,WELD,410.0,84.0,21107,170.0,792.0,26754,35290,70.0,84677,85.0,3.0,2623,34.0,186,3256,5614,9.0,11810,7.0,2.0,134.0,2.0,9.0,190.0,762.0,1.0,1107,97594
59,SD 14,LARIMER,223.0,24.0,35562,364.0,1300.0,22107,45657,39.0,105276,59.0,1.0,4820,102.0,397,3594,9500,8.0,18481,4.0,0.0,253.0,3.0,6.0,153.0,851.0,0.0,1270,125027
61,SD 15,LARIMER,343.0,32.0,26644,256.0,1213.0,37893,46968,39.0,113388,48.0,0.0,2238,37.0,202,3616,5641,5.0,11787,5.0,0.0,154.0,1.0,5.0,288.0,753.0,2.0,1208,126383
63,SD 16,BOULDER,11.0,3.0,3821,20.0,116.0,1557,4369,2.0,9899,3.0,0.0,335,6.0,22,247,650,1.0,1264,0.0,0.0,49.0,0.0,0.0,11.0,119.0,0.0,179,11342
64,SD 16,DENVER,48.0,11.0,6229,35.0,205.0,4467,7416,8.0,18419,8.0,0.0,579,12.0,47,483,1053,2.0,2184,1.0,1.0,22.0,1.0,1.0,22.0,127.0,0.0,175,20778
65,SD 16,GILPIN,17.0,1.0,1252,22.0,54.0,1084,2048,2.0,4480,9.0,0.0,228,4.0,13,207,436,0.0,897,0.0,0.0,1.0,0.0,0.0,8.0,22.0,0.0,31,5408
66,SD 16,JEFFERSON,147.0,17.0,20801,168.0,883.0,21850,32428,24.0,76318,19.0,1.0,1536,36.0,145,1975,3581,4.0,7297,8.0,3.0,200.0,3.0,8.0,205.0,880.0,0.0,1307,84922
68,SD 17,BOULDER,175.0,39.0,41002,291.0,977.0,18445,45015,39.0,105983,37.0,3.0,3070,48.0,186,2015,5271,5.0,10635,1.0,1.0,361.0,3.0,11.0,125.0,1009.0,1.0,1512,118130
70,SD 18,BOULDER,72.0,19.0,50498,395.0,880.0,9667,39137,20.0,100688,31.0,2.0,6668,132.0,367,1792,7921,9.0,16922,2.0,0.0,429.0,1.0,6.0,70.0,707.0,1.0,1216,118826
72,SD 19,JEFFERSON,232.0,38.0,31500,209.0,1155.0,26161,43686,60.0,103041,34.0,2.0,2429,43.0,189,2267,5025,9.0,9998,3.0,3.0,203.0,3.0,5.0,208.0,907.0,2.0,1334,114373
74,SD 20,JEFFERSON,248.0,22.0,36539,269.0,1370.0,31418,50981,51.0,120898,43.0,3.0,2911,48.0,214,2515,5539,8.0,11281,7.0,3.0,257.0,0.0,7.0,269.0,1172.0,1.0,1716,133895
76,SD 21,ADAMS,345.0,73.0,30948,166.0,802.0,14244,34415,64.0,81057,46.0,1.0,2915,36.0,135,1734,4588,5.0,9460,1.0,2.0,176.0,0.0,5.0,55.0,731.0,1.0,971,91488
78,SD 22,JEFFERSON,254.0,61.0,31500,220.0,1085.0,25514,42049,58.0,100741,52.0,1.0,3032,43.0,206,2541,5603,9.0,11487,3.0,1.0,184.0,3.0,8.0,172.0,908.0,0.0,1279,113507
