,YES VOTES,DISTRICT,COUNTY,PARTY
27,203,SD 25,ADAMS,REPUBLICAN PARTY
28,99,SD 25,ADAMS,DEMOCRATIC PARTY
29,20,SD 25,ADAMS,LIBERTARIAN PARTY
75,25,SD 25,ADAMS,REPUBLICAN PARTY
76,6,SD 25,ADAMS,DEMOCRATIC PARTY
77,0,SD 25,ADAMS,LIBERTARIAN PARTY
123,463,SD 25,ADAMS,REPUBLICAN PARTY
124,308,SD 25,ADAMS,DEMOCRATIC PARTY
125,62,SD 25,ADAMS,LIBERTARIAN PARTY
171,251,SD 25,ADAMS,REPUBLICAN PARTY
172,75,SD 25,ADAMS,DEMOCRATIC PARTY
173,28,SD 25,ADAMS,LIBERTARIAN PARTY
219,1036,SD 25,ADAMS,REPUBLICAN PARTY
220,446,SD 25,ADAMS,DEMOCRATIC PARTY
221,103,SD 25,ADAMS,LIBERTARIAN PARTY
267,13,SD 25,ADAMS,REPUBLICAN PARTY
268,3,SD 25,ADAMS,DEMOCRATIC PARTY
269,1,SD 25,ADAMS,LIBERTARIAN PARTY
315,173,SD 25,ADAMS,REPUBLICAN PARTY
316,53,SD 25,ADAMS,DEMOCRATIC PARTY
317,19,SD 25,ADAMS,LIBERTARIAN PARTY
363,8,SD 25,ADAMS,REPUBLICAN PARTY
364,3,SD 25,ADAMS,DEMOCRATIC PARTY
365,2,SD 25,ADAMS,LIBERTARIAN PARTY
920,395,SD 25,ADAMS,REPUBLICAN PARTY
921,377,SD 25,ADAMS,DEMOCRATIC PARTY
922,28,SD 25,ADAMS,LIBERTARIAN PARTY
970,238,SD 25,ADAMS,REPUBLICAN PARTY
971,215,SD 25,ADAMS,DEMOCRATIC PARTY
972,17,SD 25,ADAMS,LIBERTARIAN PARTY
1020,20,SD 25,ADAMS,REPUBLICAN PARTY
1021,21,SD 25,ADAMS,DEMOCRATIC PARTY
1022,2,SD 25,ADAMS,LIBERTARIAN PARTY
1070,116,SD 25,ADAMS,REPUBLICAN PARTY
1071,107,SD 25,ADAMS,DEMOCRATIC PARTY
1072,9,SD 25,ADAMS,LIBERTARIAN PARTY
1120,115,SD 25,ADAMS,REPUBLICAN PARTY
1121,83,SD 25,ADAMS,DEMOCRATIC PARTY
1122,7,SD 25,ADAMS,LIBERTARIAN PARTY
1170,330,SD 25,ADAMS,REPUBLICAN PARTY
1171,327,SD 25,ADAMS,DEMOCRATIC PARTY
1172,27,SD 25,ADAMS,LIBERTARIAN PARTY
1220,67,SD 25,ADAMS,REPUBLICAN PARTY
1221,77,SD 25,ADAMS,DEMOCRATIC PARTY
1222,8,SD 25,ADAMS,LIBERTARIAN PARTY
1270,199,SD 25,ADAMS,REPUBLICAN PARTY
1271,1047,SD 25,ADAMS,DEMOCRATIC PARTY
1272,62,SD 25,ADAMS,LIBERTARIAN PARTY
1316,230,SD 25,ADAMS,REPUBLICAN PARTY
1317,1018,SD 25,ADAMS,DEMOCRATIC PARTY
1318,48,SD 25,ADAMS,LIBERTARIAN PARTY
1362,146,SD 25,ADAMS,REPUBLICAN PARTY
1363,701,SD 25,ADAMS,DEMOCRATIC PARTY
1364,31,SD 25,ADAMS,LIBERTARIAN PARTY
1408,56,SD 25,ADAMS,REPUBLICAN PARTY
1409,144,SD 25,ADAMS,DEMOCRATIC PARTY
1410,10,SD 25,ADAMS,LIBERTARIAN PARTY
1454,192,SD 25,ADAMS,REPUBLICAN PARTY
1455,657,SD 25,ADAMS,DEMOCRATIC PARTY
1456,38,SD 25,ADAMS,LIBERTARIAN PARTY
1500,219,SD 25,ADAMS,REPUBLICAN PARTY
1501,500,SD 25,ADAMS,DEMOCRATIC PARTY
1502,34,SD 25,ADAMS,LIBERTARIAN PARTY
1546,94,SD 25,ADAMS,REPUBLICAN PARTY
1547,376,SD 25,ADAMS,DEMOCRATIC PARTY
1548,12,SD 25,ADAMS,LIBERTARIAN PARTY
1592,241,SD 25,ADAMS,REPUBLICAN PARTY
1593,490,SD 25,ADAMS,DEMOCRATIC PARTY
1594,44,SD 25,ADAMS,LIBERTARIAN PARTY
1638,172,SD 25,ADAMS,REPUBLICAN PARTY
1639,510,SD 25,ADAMS,DEMOCRATIC PARTY
1640,34,SD 25,ADAMS,LIBERTARIAN PARTY
1684,259,SD 25,ADAMS,REPUBLICAN PARTY
1685,518,SD 25,ADAMS,DEMOCRATIC PARTY
1686,38,SD 25,ADAMS,LIBERTARIAN PARTY
1730,242,SD 25,ADAMS,REPUBLICAN PARTY
1731,431,SD 25,ADAMS,DEMOCRATIC PARTY
1732,36,SD 25,ADAMS,LIBERTARIAN PARTY
1776,219,SD 25,ADAMS,REPUBLICAN PARTY
1777,463,SD 25,ADAMS,DEMOCRATIC PARTY
1778,13,SD 25,ADAMS,LIBERTARIAN PARTY
1822,239,SD 25,ADAMS,REPUBLICAN PARTY
1823,111,SD 25,ADAMS,DEMOCRATIC PARTY
1824,23,SD 25,ADAMS,LIBERTARIAN PARTY
1868,351,SD 25,ADAMS,REPUBLICAN PARTY
1869,206,SD 25,ADAMS,DEMOCRATIC PARTY
1870,18,SD 25,ADAMS,LIBERTARIAN PARTY
1918,258,SD 25,ADAMS,REPUBLICAN PARTY
1919,341,SD 25,ADAMS,DEMOCRATIC PARTY
1920,25,SD 25,ADAMS,LIBERTARIAN PARTY
1967,64,SD 25,ADAMS,REPUBLICAN PARTY
1968,37,SD 25,ADAMS,DEMOCRATIC PARTY
1969,5,SD 25,ADAMS,LIBERTARIAN PARTY
2017,409,SD 25,ADAMS,REPUBLICAN PARTY
2018,202,SD 25,ADAMS,DEMOCRATIC PARTY
2019,29,SD 25,ADAMS,LIBERTARIAN PARTY
2067,65,SD 25,ADAMS,REPUBLICAN PARTY
2068,45,SD 25,ADAMS,DEMOCRATIC PARTY
2069,11,SD 25,ADAMS,LIBERTARIAN PARTY
2117,192,SD 25,ADAMS,REPUBLICAN PARTY
2118,124,SD 25,ADAMS,DEMOCRATIC PARTY
2119,20,SD 25,ADAMS,LIBERTARIAN PARTY
2167,273,SD 25,ADAMS,REPUBLICAN PARTY
2168,176,SD 25,ADAMS,DEMOCRATIC PARTY
2169,9,SD 25,ADAMS,LIBERTARIAN PARTY
2217,221,SD 25,ADAMS,REPUBLICAN PARTY
2218,120,SD 25,ADAMS,DEMOCRATIC PARTY
2219,12,SD 25,ADAMS,LIBERTARIAN PARTY
2267,224,SD 25,ADAMS,REPUBLICAN PARTY
2268,137,SD 25,ADAMS,DEMOCRATIC PARTY
2269,17,SD 25,ADAMS,LIBERTARIAN PARTY
2317,51,SD 25,ADAMS,REPUBLICAN PARTY
2318,56,SD 25,ADAMS,DEMOCRATIC PARTY
2319,7,SD 25,ADAMS,LIBERTARIAN PARTY
2367,200,SD 25,ADAMS,REPUBLICAN PARTY
2368,162,SD 25,ADAMS,DEMOCRATIC PARTY
2369,12,SD 25,ADAMS,LIBERTARIAN PARTY
2417,203,SD 25,ADAMS,REPUBLICAN PARTY
2418,642,SD 25,ADAMS,DEMOCRATIC PARTY
2419,43,SD 25,ADAMS,LIBERTARIAN PARTY
2467,312,SD 25,ADAMS,REPUBLICAN PARTY
2468,561,SD 25,ADAMS,DEMOCRATIC PARTY
